Board State,Action Probabilities,Player
"0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,0,-1,1,0,0,1,0,0,0,0","0.005994005994005994,0.0044241472812901386,0.006778935350363922,0.004923647780790638,0.043313829028114745,0.005994005994005994,0.01998001998001998,0.010418153275296133,0,0.030540887683744827,0.008348794063079777,0.01141715427429713,0,0,0.0065648637077208504,0.8063365206222349,0,0,0.00413871842443271,0.004923647780790638,0,0.0045668617097188524,0.00949050949050949,0.008206079634651062,0.003639217924932211",-1
"0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,-1,-1,1,0,0,1,0,0,0,0","0.054318203176393194,0.0585001409641951,0.053190489615637625,0.0585001409641951,0.050512169908843156,0.056197725777652474,0.05394229865614134,0.05882905741941547,0,0.0501362653885913,0.05882905741941547,0.053190489615637625,0,0,0.055445916737148764,0,0,0,0.055445916737148764,0.0585001409641951,0,0.05774833192369138,0.05469410769664505,0.05657363029790433,0.055445916737148764",1
"0,0,0,0,0,0,0,1,-1,0,0,0,-1,1,0,-1,-1,1,0,0,1,0,0,0,0","0.006942590120160214,0.005073431241655541,0.005785491766800178,0.006408544726301735,0.4459279038718291,0.004005340453938585,0.006230529595015576,0,0,0.4459279038718291,0.013974187805963507,0.006141522029372497,0,0,0.008633733867378727,0,0,0,0.006942590120160214,0.006675567423230975,0,0.006141522029372497,0.009790832220738763,0.009701824655095684,0.005696484201157099",-1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.012230576441102757,0.0293734335839599,0.015137844611528822,0.012932330827067668,0.08421052631578947,0.03679197994987469,0.023358395989974936,0.03568922305764411,0.09664160401002506,0.03137844611528822,0.015639097744360904,0.04581453634085213,0.1031578947368421,0.07829573934837093,0.032180451127819545,0.03889724310776942,0.0950375939849624,0.020050125313283207,0.03508771929824561,0.019849624060150377,0.0737844611528822,0.012731829573934837,0.024360902255639097,0.0035087719298245615,0.023859649122807018",1
"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0","0.023898228078146296,0.04461608359836438,0.030622444343480236,0.03498409813721036,0.047069513857337576,0.01372103589277601,0.0275329395729214,0.1704679691049523,0.08250795093139482,0.023080417991821898,0.017900954111767377,0.029986369831894594,0,0.02598818718764198,0.014357110404361655,0.02707860063607451,0.06060881417537483,0.09468423443889142,0.022807814629713766,0.03416628805088596,0.07887323943661972,0.04870513402998637,0.027260336210813266,0.010358927760109042,0.008723307587460245",-1
"0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0","0.008942883658145617,0.007930481734581963,0.003121572597654602,0.02007930481734582,0.05779127647009196,0.021007339913945836,0.02168227452965494,0,0.6009449084619928,0.013329958660254788,0.010208386062600185,0.037880705306673416,0,0.013751792795072977,0.012233189909727495,0.013161225006327512,0.02126044039483675,0.026997384628364127,0.006749346157091032,0.016198430777018477,0.020163671644309458,0.022779043280182234,0.017042099046654855,0.02083860626001856,0.005905677887454653",1
"0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0","0.0028653295128939827,0.01631483538974329,0.010467224138939243,0.0653178176714812,0.07654523127302497,0.015788550377170925,0.02532015671598152,0,0,0.014560552014502076,0.009882463013858839,0.02163616162797497,0,0.03508566750482428,0.03578738085492077,0.013332553651833227,0.13893924331910415,0.11683527279106486,0.02999824571662476,0.03163557686684989,0.0877141687620607,0.13923162388164434,0.0767206596105491,0.014385123676977954,0.02163616162797497",-1
"0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0","0.009223300970873786,0.004692556634304207,0.004288025889967638,0.04174757281553398,0.04894822006472492,0.017071197411003235,0.011812297734627832,0,0,0.01634304207119741,0.011488673139158577,0.019255663430420712,0,0.01836569579288026,0.01448220064724919,0.02192556634304207,0.009789644012944984,0.02330097087378641,0.042313915857605175,0.024433656957928804,0.5758899676375404,0,0.04991909385113268,0.019579288025889968,0.015129449838187703",1
"0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0","0.015147970522868173,0.01608375248567084,0.019300502982805008,0.04883612118376418,0.06427652357000818,0.022166335243888172,0.02877529535618201,0,0,0.010118142472803836,0.016785588957772837,0.028541349865481343,0,0.02310211720669084,0.01766288454790034,0.1005965610012867,0.4664288220844543,0.02965259094630951,0.03602760556790268,0.021055094163060006,0,0,0.011580301789683004,0.013744297578664171,0.010118142472803836",-1
"0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,-1,0,0,0,1,-1,0,0,0","0.00478948540877701,0.0055134773891735355,0.002394742704388505,0.019380708398306974,0.03892849186901314,0.012196480285141456,0.011806638449543327,0,0,0.003452884829583426,0.009801737580752952,0.033303631098240145,0,0.008799287146357764,0.012307863666740922,0.7479394074404099,0,0.007963911784361774,0.014758298061929161,0.013143239028736913,0,0,0.02305635999108933,0.02121853419469815,0.009244820672755625",1
"0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,-1,0,0,0,1,-1,0,0,0","0.022509824021869126,0.06462497864343072,0.020715872202289425,0.0773107807961729,0.05949940201606014,0.03361524004783872,0.08914232017768665,0,0,0.0182812233042884,0.0846574406287374,0.26875106782846403,0,0.019092772936955407,0.02169827438920212,0,0,0.0631727319323424,0.032846403553733125,0.02409021014864172,0,0,0.06304459251665813,0.0182812233042884,0.01866564155134119",-1
"0,0,0,0,0,0,0,-1,1,0,0,-1,1,0,0,1,-1,0,0,0,1,-1,0,0,0","0.009708141321044547,0.005529953917050691,0.001781874039938556,0.013210445468509985,0.010752688172043012,0.005345622119815668,0.00946236559139785,0,0,0.004178187403993856,0.8494009216589862,0,0,0.0027649769585253456,0.005960061443932412,0,0,0.022980030721966208,0.006021505376344086,0.008172043010752689,0,0,0.024393241167434715,0.009953917050691244,0.010384024577572966",1
"0,0,0,0,0,0,0,-1,1,0,1,-1,1,0,0,1,-1,0,0,0,1,-1,0,0,0","0.04200268817204301,0.5123487903225806,0.02919186827956989,0.023941532258064516,0.03082997311827957,0.08266129032258064,0.08702956989247312,0,0,0.01478494623655914,0,0,0,0.025621639784946238,0.02158938172043011,0,0,0.027721774193548387,0.015036962365591398,0.01659106182795699,0,0,0.03225806451612903,0.01659106182795699,0.021799395161290324",-1
"0,-1,0,0,0,0,0,-1,1,0,1,-1,1,0,0,1,-1,0,0,0,1,-1,0,0,0","0.04345670107740161,0,0.060541856376504534,0.10940810530586485,0.09214263174502998,0.11184240183924626,0.04837037370959744,0,0,0.01929405400531939,0,0,0,0.015236893116350358,0.027904251003020332,0,0,0.07424604426813325,0.18126493260604967,0.04832529414416445,0,0,0.06739395032231889,0.08443402605598882,0.016138484425010143",1
"0,-1,0,0,0,0,0,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,0,0,0","0.14621260798172342,0,0.14849717998143785,0.05961305061754837,0.05989862211751267,0.2176054829727993,0.10873134861140858,0,0,0.015920611123009923,0,0,0,0.02677232812165346,0.011851217248518597,0,0,0.052902120368387234,0,0.00835296637395588,0,0,0.0704647676161919,0.038980509745127435,0.03419718712072535",-1
"0,-1,0,0,0,-1,0,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,0,0,0","0.0034522439585730723,0,0.02623705408515535,0.46950517836593786,0.22662063674721902,0,0.03513617184503261,0,0,0.011967779056386652,0,0,0,0.031914077483697734,0.023858841580360567,0,0,0.046643651706942846,0,0.019946298427311087,0,0,0.022554660529344073,0.07073264288454162,0.011430763329497507",1
"0,-1,0,1,0,-1,0,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,0,0,0","0.02265954805065806,0,0.14086168363546064,0,0.02681897193940899,0,0.14458654084926745,0,0,0.08207102061087658,0,0,0,0.08529923019617582,0.07635957288303949,0,0,0.10615843059349392,0,0.05475540104296002,0,0,0.11031785448224485,0.09237645890240874,0.057735286814005464",-1
"0,-1,0,1,0,-1,-1,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,0,0,0","0.004221464523461601,0,0.005520376684526709,0,0.003653190452995616,0,0,0,0,0.0062510147751258325,0,0,0,0.011446663419386265,0.005195648644260432,0,0,0.05382367267413541,0,0.0038155544731287546,0,0,0.8798506251014775,0.015424581912648156,0.01079720733885371",1
"0,-1,0,1,0,-1,-1,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,1,0,0","0.1055790282312272,0,0.10869982715575187,0,0.10634722488957173,0,0,0,0,0.08704628384866527,0,0,0,0.09031111964662954,0.08541386594968312,0,0,0.09837718455924717,0,0.10317841367390052,0,0,0,0.10869982715575187,0.10634722488957173",-1
"0,-1,-1,1,0,-1,-1,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,1,0,0","0.01281109751121991,0,0,0,0.01558547531619747,0,0,0,0,0.05532435740514076,0,0,0,0.4177886576907385,0.036882904936760504,0,0,0.4177886576907385,0,0.010118319053447572,0,0,0,0.01966544267645859,0.014035087719298246",1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.016741854636591478,0.020451127819548873,0.02756892230576441,0.035889724310776944,0.06446115288220551,0.023859649122807018,0.031478696741854634,0.08150375939849624,0.047017543859649125,0.031478696741854634,0.0324812030075188,0.0406015037593985,0.09152882205513785,0.03338345864661654,0.029674185463659148,0.027268170426065164,0.08030075187969925,0.08832080200501254,0.04200501253132832,0.006616541353383459,0.02706766917293233,0.043909774436090225,0.04170426065162907,0.023258145363408523,0.011428571428571429",-1
"0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0","0.015887592983745064,0.008816236569014603,0.021122233446597485,0.025897694921480394,0.07172375792083754,0.01092845991367435,0.020479382863440167,0.028652768849297457,0.06704013224354853,0.03535678207365231,0.02305078519606943,0.11617228395628616,0,0.12149876021673248,0.04077509413169254,0.029020112039673064,0.0831113968224814,0.03994857195334742,0.014326384424648729,0.012489668472770686,0.09449903572412527,0.02883644044448526,0.04114243732206814,0.023969143172008447,0.02525484433832308",1
